"НомерЗаказа","ОптовыеКлиенты_НомерКлиента","Препараты_КодПрепарата","ДатаЗаказа","Количество","Скидка"
1,10006,117,"2025-05-24",1000,20
2,10019,121,"2025-05-07",820,35
3,10002,106,"2025-05-08",830,47
4,10006,109,"2025-05-23",1020,15
5,10010,118,"2025-05-10",230,67
6,10006,108,"2025-05-22",450,50
7,10029,101,"2025-05-12",630,68
8,10026,120,"2025-04-19",950,12
9,10015,105,"2025-05-02",720,22
10,10019,110,"2025-04-17",650,56
11,10008,112,"2025-04-18",540,57
12,10007,124,"2025-04-19",460,48
13,10022,128,"2025-04-20",330,36
14,10017,113,"2025-05-13",680,13
15,10009,107,"2025-05-14",920,30
