"КодПрепарата","Название","СтранаПроизводитель","Упаковка","Цена","Сертификат"
101,Hepabolan,Германия,Блистер,672,0
105,Formigran,Германия,Тюбик,678,0
106,Polase,Италия,Блистер,995,1
107,Xenical,Швейцария,Флакон,423,0
108,Dafflon,Франция,Ампула,867,0
109,Celmigon,Россия,Блистер,348,0
110,Selen,Норвегия,Баночка,524,0
112,Levain,Россия,Ампула,770,1
113,Ferretab,Италия,Флакон,440,0
117,Papillock,Россия,Флакон,340,0
118,Spartofer,Италия,Спрей,260,0
120,Aspecton,Германия,Ампула,540,0
121,Depakine,Россия,Тюбик,320,0
124,Jalucomplex,Италия,Флакон,580,0
128,Leukosilk,Германия,Флакон,1000,1
129,Ibuprofen,Россия,Блистер,410,0
